title,url,html
UP Media and Public Relations Office – Page 84 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/84/,"UP President Danilo L. Concepcion names Executive Team
February 10, 2017 by UP Media and Public Relations Office

Newly-installed UP President Danilo Concepcion has introduced the members of his executive team in his acceptance speech during the ceremonial turnover of the university leadership on February 10 at Quezon Hall, UP Diliman. Oath-taking of the Vice Presidents and the Secretary of the University took place at the Office of the President right after the […]

Danilo Concepcion steps in as 21st UP president
February 10, 2017 by UP Media and Public Relations Office

The University of the Philippines (UP) welcomed its 21st president, UP Diliman College of Law Dean Danilo Concepcion, on February 10 in a ceremonial turnover of the university leadership at Quezon Hall, UP Diliman. He will serve a term of six years.

Memorandum No. PAEP 17-09: Additional Assignment of Research and Extension Fellows of the Resilience Institute
February 6, 2017 by UP Media and Public Relations Office"
UP Media and Public Relations Office – Page 83 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/83/,"Pascual reports accomplishments, thanks UP
February 21, 2017 by UP Media and Public Relations Office

UP outgoing president, Alfredo Pascual, gave markers of his administration’s accomplishment and expressed his thanks to the UP community, his executive staff in particular, at the 5th President’s Toast on February 9, 2017, the eve of handing over the UP presidency to his successor.

UP College of Music pays tribute to UP President Alfredo Pascual
February 20, 2017 by UP Media and Public Relations Office

The UP College of Music and the UP College of Music Alumni Association Incorporated (UPCMAAI) presented a thanksgiving concert on February 1 at the Executive House in Diliman to honor UP President Alfredo E. Pascual.

UP, Upsilon Sigma Phi sign agreement to construct UP Promenade
February 20, 2017 by UP Media and Public Relations Office"
UP Media and Public Relations Office – Page 82 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/82/,"Komunidad ng UP Diliman nakiisa sa One Billion Rising 2017
February 24, 2017 by UP Media and Public Relations Office

Binuksan ng pagsasayaw ng Zumba ang pagtitipon para sa pandaigdigang kampanyang tinaguriang One Billion Rising 2017. Dinaluhan ng mga guro, REPS, administrative personnel maging ng mga residente ng Barangay UP Campus at mga kababaihang estudyante ng Balara High School ang nasabing kaganapan noong ika-14 ng Pebrero sa A.S. Steps sa UP Diliman. “Ang paglahok ng […]

UP Diliman: “Salaysayan: K’wentong Bayan, Kaalamang Bayan”
February 24, 2017 by UP Media and Public Relations Office

Bilang pakiisa ng UP Diliman sa Pambansang Buwan ng Sining sa taong ito, naging gabay ng pagdiriwang ang temang “Salaysayan: K’wentong Bayan, Kaalamang Bayan.” “Ang mga kuwentong bayan ay mga naratibong pasalita na nagpasalin-salin sa maraming henerasyon. Madalas ang mga kuwentong bayan ang nagpapaliwanag ng iba’t ibang aspekto ng tradisyon, mga kalakaran pati na rin […]

‘Seed’ facility for UP innovation campus inaugurated
February 24, 2017 by UP Media and Public Relations Office"
UP Media and Public Relations Office – Page 81 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/81/,"UP Anti-Sexual Harassment Code
March 8, 2017 by UP Media and Public Relations Office

Approved by the UP Board of Regents on its 1324th Meeting, 26 January 2017 Pursuant to its powers vested by law, the Board of Regents of the University of the Philippines System hereby promulgates this Anti-Sexual Harassment Code within the jurisdiction of the University of the Philippines. Section 1. Declaration of Policy. – The University […]

CHED-PCARI’s HeLe Project collaborators from UC Davis visit UP
March 3, 2017 by UP Media and Public Relations Office

Pediatric telemedicine experts from the University of California Davis (UC Davis) recently visited UP on March 1, 2017. They delivered a lecture at the UP Diliman Electrical and Electronics Engineering Institute in the morning and paid a courtesy call to UP Diliman Chancellor Michael Tan, UP Executive Vice-President Teodoro Herbosa, and UP Vice-President for Public […]

Pharma development lab set up at UPLB S&T Park
March 2, 2017 by UP Media and Public Relations Office"
Geography in the Field: A Course-Based Extension Program – University of the Philippines,https://up.edu.ph/geography-in-the-field-a-course-based-extension-program/,"


Geography focuses on the study of the earth as the home of humans. A holistic discipline, it examines human-environment interactions, spatial processes, and the development of places and localities. It studies the physical and human processes of the earth and investigates how these produce different landscapes. It uses geographic techniques such as spatial analysis, cartography, geographic information science (GIScience), remote sensing, and statistical methods to explore and comprehend the complexities of natural and cultural systems and how they relate to each other. These can lead to better understanding of the factors that lead to the transformation of everyday spaces on the local, regional, and global levels.

The UP Department of Geography aims to bring geography to where it should be—at the center of decision-making in our country. The department takes an active role in propagating geography as a discipline in order to raise awareness on how our daily lives are influenced by human-environment interactions, and to empower localities in facing the challenges of an increasingly globalizing world.

Origins of Geography Field School

The Local Government Code of 1991 (RA 7160) provides geography as a discipline the opportunity to showcase its relevance to society. In 1995, the department initiated partnerships with various local government units, non-government and peoples’ organizations, and other institutions. These partnerships involve the engagement of students of the department with partner communities. It has resulted in successful outputs such as planning documents and maps, which are vital for development planning especially in the remote areas of the country. It also serves as a venue for students to learn the skills of geographic inquiry, data collection, and analysis while serving the participating communities.

The Department’s Physical and Socio-Economic Profile (PSEP), now referred to as the Ecological Profile (EP), is a document in which the department often collaborates with local government units. This document is essential in formulating the Comprehensive Land Use Plan (CLUP) mandated by the Local Government Code; CLUP will be enacted through zoning ordinances.

The first of these collaborations took place in 1995 with the local government of Jordan, Guimaras, which was then a sub-province of Iloilo. The field class came up with the PSEP and accompanying maps used by the LGU as inputs to their CLUP. After this successful engagement, the department continued to reach out to other LGUs, expanding its services by assisting them with their development goals.

Participatory 3D Mapping project of Geog 192 students led by Dr. Jake Cadag with the local children of Basud, Camarines Norte in partnership with UNICEF.

Geography Field School

Geography 192/202, Field Methods in Geography (or Field Geography at the graduate level), is a course-based extension program offered by the Department of Geography every mid-year/summer term. The course allows the faculty and undergraduate students of the department to support the development planning processes at the provincial, municipality and community levels. It also fulfills the goals of service learning in enhancing academic learning among students and faculty while extending assistance to communities in a professional manner.

Since its inception, the program has assisted 48 barangays, municipalities and cities all over the Philippines. The department has collaborated with different local government units (LGUs), peoples organizations (POs), academic and research institutions, non-government organizations (NGOs), and community members towards the enhancement of their capacities to make informed decisions through research, technical assistance, and utilization of geographic information resources and tools such as geographic information systems.

In recent years, the course objectives have broadened and diversified to accommodate the changing nature of development projects initiated or supported by the LGUs or local organizations. The following are the extension activities that are being carried out under the program.

Geog 192 class consulting with the Mayor of San Jose, Nueva Ecija.

Ecological Profiling/Physical and Socio-economic Profiling

The ecological profile (EP), formerly known as the physical and socio-economic profile (PSEP) is a comprehensive database composed of systematic description and analysis of the different sectors of an area or municipality, namely: social, physical, economic, institutional and environmental sectors.

The ecological profile is also the more comprehensive replacement of the socio-economic profile as it gives equal coverage to the physical, biological, socio-economic, cultural and built environments (DILG).

The Local Planning and Development Coordinator (LPDC) of the LGU is responsible for the preparation of this document. However, due to lack of personnel, data and technology, some LGUs reach out to other institutions for assistance in the formulation of the EP.

As of 2016, 28 municipalities have been given assistance with their PSEP/EP by the department.

Comprehensive Land Use Plan (CLUP)

The Comprehensive Land Use Plan is a planning document prepared by the LGUs to rationalize the allocation and proper use of land uses. It also projects public and private land uses in accordance with future spatial organization of economic and social activities.

It is mandated in Article 41 of the Local Government Code of 1991 (RA 7160) that LGUs shall prepare their CLUP which will be enacted through zoning ordinances. Similar with the lack of capacities to prepare such documents, some LGUs engage with other institutions for assistance in the formulation of their CLUP.

The department assisted the formulation of CLUP of Lucban, Quezon in 2001.

Minimum Basic Needs Profile

The Minimum Basic Needs Profiling provides a strategy of prioritizing primary requirements for survival, security and enabling needs of the community. It is also a way of using basic needs as basis for situation analysis, planning, implementation, monitoring and evaluation.

The department conducted the preparation of the Minimum Basic Needs Profile of Barangay Iniwaran, San Pascual, Masbate in 2005.

Darlene Gutierrez of UP Department of Geography receiving the 2016 Parangal sa Gawaing Ekstensyon with UPD officials.

Community Resource Management Framework Plan

The Community Resource Management Framework Plan is a strategic plan of the community on how to manage and benefit from the forest resources on a sustainable basis. It describes the community’s long-term vision, aspirations, commitments and strategies for the protection, rehabilitation, development and utilization of forest resources. It also provides detailed activities for the first five (5) years) which shall serve as a five-year work plan of the people’s organizations(POs).

The department assisted in the formulation of the CRMF of Barangay Calawis, Antipolo City, Rizal in 2009.

Participatory 3D Mapping

Participatory 3D mapping is a community-based mapping method which integrates local spatial knowledge with data on elevation of the land and depth of the sea to produce stand-alone, scaled and geo-referenced relief models.

In 2015, the UP Department of Geography, in partnership with UNICEF, facilitated the participatory 3D mapping in the municipalities of Paracale and Basud, Camarines Norte.

Participatory 3D Mapping project of Geog 192 students led by Dr. Jake Cadag with the local children of Basud, Camarines Norte in partnership with UNICEF.

Geographic Information System (GIS) Orientation/Workshop

Geographic Information System or GIS, is a computer system for capturing, storing, checking and displaying data related to positions on the earth’s surface. GIS can show many different kinds of data on one map, such as streets, buildings, and vegetation. This enables people to easily see, analyze, and understand patterns and relationships which can be vital for the development of an area.
"
UP Media and Public Relations Office – Page 80 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/80/,"Hokkaido University Officials Visit UP
March 17, 2017 by UP Media and Public Relations Office

Officials and faculty of the Hokkaido University of Japan visited the University of the Philippines (UP) Diliman campus on March 15, 2017. Activities included concurrent seminars by professors from Hokkaido University, a tour around the campus, a lunch meeting with UP President Danilo L. Concepcion, and an Appointment Ceremony for Hokkaido University Ambassadors and Partner […]

UP Profs Named Hokkaido U Ambassadors
March 15, 2017 by UP Media and Public Relations Office

Professors from the University of the Philippines and De La Salle University received their official appointments as Hokkaido University Ambassadors on 15 March 2017, 4:00 p.m. at the Executive House, UP Diliman, Quezon City.

UP–Harvard University Collaborative Workshop/Meeting Held at UP Diliman, UP Manila
March 15, 2017 by UP Media and Public Relations Office"
The UP Manila Community Health and Development Program (UP CHDP) – University of the Philippines,https://up.edu.ph/the-up-manila-community-and-development-program-up-chdp/,"


The UP CHDP is the UP Manila unit mandated by the University to enter into partnerships with Philippine municipalities to set up and maintain community-based health programs (CBHPs) that will benefit both parties. It provides the site for UP faculty, staff and students’ curricular (academic) immersion and service activities.

In 2007, the UP CHDP was revived by then UP Manila Chancellor Ramon L. Arcadio. The UP CHDP Conceptual Framework considers the community as a partner in health and development towards a healthier and more empowered community.

The objectives of the UP CHDP are to assist communities in attaining enhanced capacities in their own health care and development through the Primary Health Care Approach while providing learning opportunities for the faculty and students of UP in the principles and practice of community health and development which they can also use in their extension and volunteer work.

The community partner of the UP CHDP from 2007-2013 was the Municipality of San Juan, Batangas (San Juan started working with UP Manila through the UP College of Medicine in 2006) while the partner from 2013 to the present is the Province of Cavite through the A.M.I.G.A. Inter-L.G.U. Health Collaboration Council.

The municipality of San Juan and the UP CHDP successfully worked together from 2006 to 2013 “to decrease by 50 percent the morbidity of children 0-12 years old.” In addition to the municipal-wide program on children’s health, there was also a municipal-wide program on dengue prevention. The dengue program involved the formation of a Barangay Dengue Task Force in all the barangays. These groups created the mechanism whereby community members were able to participate actively in the program. School-Based Dengue Task Force groups were also formed in every public and private school in the municipality. Several public elementary schools were able to form teams of “Bulilit Health Scouts” which assisted in the implementation of school-based projects, including the school-based dengue prevention efforts.

There were also several barangay-wide initiatives such as solid-waste management programs and livelihood programs, as well as school-based programs anchored on the “Fit for School” initiative of the Department of Education.

A school-based program showcasing the collaboration among the Municipal LGU, MHO, Department of Education, School Officials and Teachers and a University. Photo courtesy of Dr. Anthony G.H. Cordero.

A school-based program showcasing the collaboration among the Municipal LGU, MHO, Department of Education, School Officials and Teachers and a University. Photo courtesy of Dr. Anthony G.H. Cordero.

There were also regular primary care clinical services in barangay health stations. The Rural Health Unit staff and the UP students worked together to provide primary care services with the assistance of the local government unit (LGU) and the health workers in the barangay.

The Municipality of San Juan was led by two mayors during the partnership years from 2006 to 2013, the Hon. Rodolfo Manalo (2006-2007 & 2010-2013) and the Hon. Danilo Mindanao (2007-2010). Dr Nestor Alidio served as the overall leader of the health team.

During a community health education activity with diagnosed hypertensives and diabetics in Cavite. Photo courtesy of Dr. Anthony G.H. Cordero."
BIDANI: A Strategy for Promoting Local Development and Nutrition Improvement – University of the Philippines,https://up.edu.ph/bidani-a-strategy-for-promoting-local-development-and-nutrition-improvement/,"


Malnutrition is a multi-faceted problem and cannot be solved only by health and nutrition practitioners. It needs multidisciplinary and multisectoral but integrative approaches in order to minimize if not solve this problem. The causes of malnutrition, being multiple and complex, are better addressed with the collaborative efforts of several disciplines.

One concrete example is the malnutrition problem due to poverty in an upland area. The people are poor despite planting cash crops under the forest trees. Their productivity is low because the cash crops they plant are not suitable and the soil had become infertile because of inappropriate planting methods. Nutritionist Dietitians (NDs) can advice them about nutrition, but foresters must also advise them about upland crops and methods so they will have a better source of livelihood.

Research and extension professionals of the Barangay Integrated Development Approach for Nutrition Improvement (Bidani) recognize the common goal: Assuring human existence in a sustainable environment. This requires an integrated disciplinary approach to get to the root causes of problems and identify appropriate, lasting solutions.

The study of man alone necessitates the use of both the natural and social sciences.

Since its inception as a Nutrition Improvement Model, an action-research project of the University of the Philippines Los Baños (UPLB) sponsored by the Food and Agriculture Organization in 1978, until it became a full blown network program of state universities and colleges (SUCs), Bidani’s niche has always been human ecology: the study of man and his interaction with the environment. Beginning with the physical matter of health and nutrition, we realize it is better viewed from a socio-economic standpoint. Health and nutrition are the best indicators of socio-economic progress. Only healthy and well-nourished individuals can participate in and contribute to socio-economic development.

Although we began with the goal of nutrition improvement (NI), it did not become the sole focus of Bidani. As we aspire to be holistic, NI led us to look for improvement in other interrelated areas of concern, including physical infrastructure such as farm to market roads, peace and order, livelihood, potable water, among others.

SUCs concerted efforts for the promotion of healthy and well-nourished community, i.e. conferences and consultations meetings. Photo courtesy of Ms. Lorna Garcia.

During the earlier times of the College of Human Ecology (CHE), the three departments and one institute collaborated for the practicum of both the Bachelor of Science in Human Ecology (BSHE) and Bachelor of Science in Nutrition (BSN) programs. The objective was to produce graduates with holistic perspectives who can articulate each of the departments’ objectives. The BSHE curriculum includes nutrition. At the same time, the BSN curriculum includes an introduction to human ecology because knowledge of the concept will enable students to understand the deep-rooted problems of man and his relationship with the physical, social, biological and economic environments which affect human nutrition.

Under the Department of Human and Family Development Studies (HFDS), the locus of operation is the family. BIDANI aims to help sustain healthy and well- nourished families to enable them to participate in socio-economic development. This is the same target set by the Institute of Human Nutrition and Food (IHNF). The Department of Social Development Services (DSDS) targets communities to receive or avail of social services through different technologies and to take care of the environment, which is the domain of the Department of Community and Environmental Resource Planning (DCERP). Each domain interacts with one another. Synergy is the essence of human ecology, and Bidani is utilized by the entire college for teaching, research, and extension.

At present, UPLB-Bidani has established linkages with colleges in UPLB—e.g., the College of Public Affairs and Development in the conduct of researches and studies on good governance, food security, nutrition program management and gender and development.

Bidani hopes to collaborate with other UP units through continuous upgrading of Bidani innovative components dealing with the community’s ability to manage information, refinement of the integrative development approach, and promotion of community participation in their own nutrition.

Evolution from model to integrated development approach

Bidani is a community-based, multidisciplinary, holistic, development-oriented approach aimed at improving governance and strengthening the food and nutrition security of Philippine villages. Evolving from the Nutrition Improvement Model (NIM), in 1982, the project changed its acronym to Bidani to live up to its approach. With funding assistance from the Netherlands for 10 years (1990-2000), the project expanded to a program of seven SUCs: Isabela State University (Region II), Central Luzon State University (Region III), Bicol State University (Region V), UP Visayas (Region VI), Visayas State University (formerly Visayas State College of Agriculture) (Region VIII), Central Mindanao State University (Region X), with UPLB as national overall coordinator.

These academic institutions, through their extension programs, partner with local government units to promote nutrition-in-development through community and other key stakeholders’ participation in an integrated management system. As such, Bidani considers nutrition as an objective, a component, an indicator, and outcome of development.

Being non-secular, non-partisan, scientific, and highly committed to their academic and social goals, the SUCs of Bidani have earned the trust of the communities that sustain the program.

Capacity building and Technical Backstopping for the preparation of BIDP. Photo courtesy of Ms. Lorna Garcia.

Bidani as a program is now in its 38th year, lodged at the Institute of Human Nutrition and Food, College of Human Ecology (IHNF-CHE), UPLB as the national overall coordinator. It has become the academe’s unique and continuing contribution to national development despite changes in the political leadership. It has become a flagship program of UPLB and has received multiple awards and recognitions.

In four decades, Bidani was strengthened through the implementation of innovative components or strategies:

1) Barangay Integrated Development Approach (BIDA) the development strategy for LGUs through a systematic, holistic and bottom-up approach in planning, implementation, monitoring and evaluation of projects and activities as embodied in a Barangay Integrated Development Plan (BIDP);
2) Participative Nutrition Enhancement Approach (PNEA) through strengthening health and nutrition interventions in the prevention of malnutrition and rehabilitation of malnourished children.
3) Barangay Management Information System (BMIS), which focuses on the needs of the barangay through an efficient and effective data collection prior to program planning, and management and implementation of various projects and activities at the barangay.

Bidanized equals better LGUs

One of the aims of Barangay Integrated Development Approach (BIDA) is to create awareness and to empower people in the local communities to participate actively in the development process. The BIDA as an innovative strategy is a package of capability building activities aimed at developing the capacity of the barangays in developing and managing nutrition-oriented programs. Technical trainings are conducted for project development or formulation of the barangay integrated development plan (BIDP) and implementation.

Trained barangay local government units (BLGUs) ensure that project planning is participatory, multi-sectoral, and uses the bottoms-up approach involving all the local officials and community stakeholders in problems and needs identification, and in identification of possible solutions.

Bidani has made a difference in empowering local government units and other stakeholders in community nutrition development planning. This was attained through relative coordination and complementation of projects, programs and activities among the development functionaries and the intended clientele and enhanced linkages of grassroots, stakeholders and other institutions such as government organization (GOs), non-government organization (NGOs), private agencies, and people’s organizations (POs).

With the adoption and operationalization of the Bidani strategy,

(1) A system in planning has been established in the barangays. Through the system the local officials and community members are able to identify sectoral problems and needs of the community from ocular inspection and surveys. With the availability of updated information, the local officials are able to come up with programs, projects and activities (PPAs) in the Barangay Integrated Development Plans (BIDPs) that are appropriate to the needs of their constituents.

LGUs which are “Bidanized” are able to effectively and efficiently evaluate and manage their own resources and needs, and access national and higher level programs of government and non-government organizations providing much needed assistance relevant to their situation.

(2) The expanded Barangay Development Councils/Program Planning and Implementing Committees (BDCs/PPICs) has become more organized, active and functional and are able to implement projects and deliver services to their constituents. Moreover, through the strategy, people’s participation in barangay activities has increased.

(3) They are able to monitor the children with malnutrition problems and are able to implement programs responsive to their needs like feeding programs, the establishment of food production areas, and livelihood training. They are able to link with concerned municipal agencies and members of the PPIC to work on projects.

(4) Bidani catchment barangays have been recognized as model barangays. They have received awards and have become favorite training grounds, locally, nationally and internationally.

(5) The barangay officials have become computer literate. Having learned how to make powerpoint presentations and other computer applications such as Excel, Word, and Internet (Google search) and enhanced their communication skills.

PNEA as Bidani’s direct nutrition interventions for family and community development. Photo courtesy of Ms. Lorna Garcia.

Pegging success on nutrition

If it is to become the indicator of the program’s success, the nutrition component of Bidani must be highlighted. In its early years of implementation, the nutrition component was weak since Bidani did not offer any direct interventions. Thus, in 1994, the Participative Domiciliary Nutrition Rehabilitation (PDNR) was launched as an individualized and family-focused approach to rehabilitate and/or prevent malnutrition among children 0-36 months of age and to promote improved nutrition.

PDNR reinforced the partnership and joint responsibility of the parents, the community, government line agencies and GOs with technical support from the SUCs. The PDNR also reinforced the nutrition-related activities of the government such as the Comprehensive Health and Nutrition Program of the Department of Health (DOH), the Supplemental Feeding Program of the Department of Social Welfare and Development (DSWD) and Department of Education (DepEd).

Through this strategy, malnutrition has been reduced in Bidani covered barangays with 17 percent of the 1,387 children (0-36 months) rehabilitated to normal status after six months. Based on data covered by the seven member SUCs from 1996-2000 like CMU, UPV, BU, ISU, CLSU, VSU and UPLB as the National Coordinator, reduction of malnutrition prevalence from the covered villages such that 82 percent or 8 out of 10 children were rehabilitated and/or improved to a higher nutritional classification after 12 months. There was also a significant increase of families involved in food production, mainly backyard gardening and animal husbandry.

Then in 2009, PNEA was conceptualized and implemented for a more comprehensive and participative approach in the delivery of nutrition and health services. It aims to rehabilitate and prevent the occurrence of malnutrition among 0-24 month old children through life cycle approach. Nutrition is crucial in human development and in reaching one’s potential. A compromised nutritional status even at the age of conception has a bearing on an individual’s nutritional status later in life.

PNEA offers an integrated nutrition enhancement package to ensure that LGUs and other partners would be able to deliver nutrition services effectively to achieve a healthy and well-nourished community. The approach provides technical assistance in facilitating the implementation of the national nutrition program at the local level and strengthening the skills of health providers (MHO, MNAO, BNS, BHW, midwives, peers, etc.) on health and nutrition development activities. PNEA also encourages participation of local stakeholders in health and nutrition activities.

The promotion and utilization of Kalinga mix (adopted from the Food and Nutrition Research Institute as Insumix) as the main food-based supplementary feeding is one of the main nutrition interventions of this strategy. Kalinga is a low cost, flour-like mixture of rice, mungbean and sesame seed. It is high in energy, protein and carbohydrates needed for optimum body growth and constant supply of energy for children to sustain their daily activities.

The information premium and Bidani’s niche

Literature on the subject report that different agencies have initiated and established local information systems. The Bidani Barangay Management Information System (BMIS) sets itself apart by helping the community establish its own sustainable databanking system to generate updated and reliable information for evidence-based planning, monitoring and evaluation of development activities at the barangay and municipal levels.

The BMIS and Municipal Management Information System (MMIS), which is the consolidation of all the BMIS of the municipality, are electronic systems which help synergize barangay and municipal development goals and activities.

Through the BMIS and MMIS electronic systems, the LGUs can also generate information for: the administrative reports requested by different agencies such as the local governance performance management system (LGPMS); situational analysis in the preparation of municipal/city development plans (CDPs) such as comprehensive land use plans (CLUPs); providing basis for the barangay development plan or financial plan; facilitating delivery of services to target beneficiaries; and monitoring and evaluation of projects.

The BMIS survey form is a two-page questionnaire which can generate about 100 tables and reports on the socio-demographic, economic, agriculture, health and nutrition information of the family and its members. Some of the statistical reports generated are population, working age groups, income and poverty levels, school enrolment rates, civil statuses, religious membership, sources of income, overseas Filipino workers population, and PWD population. Data also include nutritional statuses of 0-6-year olds, and statuses of immunization, deworming, vitamin and micronutrient supplementation, and breastfeeding of 0-24 month old children. Causes of mortality and morbidity, family planning practices, access to sanitary toilet, potable water, garbage disposal practices, engagement in food production activities are indicated. The BMIS/MMIS electronic systems can also generate a list of families or members needing assistance, such as those out of school. A unique feature of the BMIS is the integration and prioritization of nutrition data in the system. It relates nutritional status to the social, economic and environmental problem of a specific child.

The BMIS builds the capacity of the barangay to conduct a proper survey. Each step is designed to be sustainable, participatory, and specific for barangay council members so that they will have a sense of ownership of the activity. It is characterized by simple, user-friendly design flexible enough to accommodate any necessary modification.
Of the more than 1,024 barangays trained on BMIS, about 70 percent are continuing their BMIS.

On the road toward greater reach and relevance

To date, the Bidani Network Program is continuing as a member of the Inter-agency Technical Committee of the National Nutrition Council. The achievements of Bidani are contributory to the attainment of the goals of the Philippine Development Plan and the Philippine Plan of Action for Nutrition.

Other major notable achievements in nutrition of the Bidani Network Program from 1978 to 2007 are the following:"
In support of the Lumad children’s right to education – University of the Philippines,https://up.edu.ph/in-support-of-the-lumad-childrens-right-to-education/,"

"
UP Media and Public Relations Office – Page 79 – University of the Philippines,https://up.edu.ph/author/mpro_admin/page/79/,"The UP Forum Roundtable Discussion: Public Service in Higher Education
March 29, 2017 by UP Media and Public Relations Office

Raul G. Bradecina, Ph.D. SUC President III Partido State University Camarines Sur The University of the Philippines is succeeding in making public service an essential part of the higher education program. For Partido State University, the public service arm of UP has enabled a budding and growing University to access UP’s expertise to capacitate its […]

Geography in the Field: A Course-Based Extension Program
March 29, 2017 by UP Media and Public Relations Office

Geography focuses on the study of the earth as the home of humans. A holistic discipline, it examines human-environment interactions, spatial processes, and the development of places and localities. It studies the physical and human processes of the earth and investigates how these produce different landscapes. It uses geographic techniques such as spatial analysis, cartography, […]

The UP Manila Community Health and Development Program (UP CHDP)
March 29, 2017 by UP Media and Public Relations Office"
